Parameter,Start_Timestamp,End_Timestamp,Duration_Records,Duration_Minutes
02FI_1000.PV,2024-08-24 17:01:00,2024-08-24 17:01:00,1,0.0
02FI_1000.PV,2024-08-26 10:32:00,2024-08-26 10:32:00,1,0.0
02FI_1000.PV,2024-08-29 20:02:00,2024-08-29 20:02:00,1,0.0
02FI_1000.PV,2024-08-31 05:08:00,2024-08-31 05:08:00,1,0.0
02FI_1000.PV,2024-09-11 20:40:00,2024-09-11 20:40:00,1,0.0
02FI_1000.PV,2024-09-14 11:44:00,2024-09-14 11:44:00,1,0.0
02FI_1000.PV,2024-09-18 18:34:00,2024-09-18 18:34:00,1,0.0
02FI_1000.PV,2024-09-22 15:23:00,2024-09-22 15:23:00,1,0.0
02FI_1000.PV,2024-09-25 14:47:00,2024-09-25 14:47:00,1,0.0
02FI_1000.PV,2024-10-01 11:53:00,2024-10-01 11:53:00,1,0.0
02FI_1000.PV,2024-10-06 16:41:00,2024-10-06 16:41:00,1,0.0
02FI_1000.PV,2024-10-07 19:04:00,2024-10-07 19:04:00,1,0.0
02FI_1000.PV,2024-10-09 03:10:00,2024-10-09 03:10:00,1,0.0
02FI_1000.PV,2024-10-18 12:25:00,2024-10-18 12:25:00,1,0.0
02FI_1000.PV,2024-10-22 00:05:00,2024-10-22 00:05:00,1,0.0
02FI_1000.PV,2024-10-22 22:42:00,2024-10-22 22:42:00,1,0.0
02FI_1000.PV,2024-10-24 11:00:00,2024-10-24 11:00:00,1,0.0
02FI_1000.PV,2024-10-24 11:36:00,2024-10-24 11:36:00,1,0.0
02FI_1000.PV,2024-11-08 10:14:00,2024-11-08 10:14:00,1,0.0
02FI_1000.PV,2024-11-14 01:04:00,2024-11-14 01:04:00,1,0.0
02FI_1000.PV,2025-01-04 19:27:00,2025-01-04 19:27:00,1,0.0
02FI_1000.PV,2025-01-04 19:52:00,2025-01-04 19:54:00,3,2.0
02FI_1000.PV,2025-01-04 19:59:00,2025-01-04 19:59:00,1,0.0
02FI_1000.PV,2025-01-04 20:51:00,2025-01-04 20:51:00,1,0.0
02FI_1000.PV,2025-01-04 21:08:00,2025-01-04 21:09:00,2,1.0
02FI_1000.PV,2025-01-04 21:12:00,2025-01-04 21:12:00,1,0.0
02FI_1000.PV,2025-02-23 14:46:00,2025-02-23 14:54:00,9,8.0
02FI_1000.PV,2025-05-21 10:45:00,2025-05-21 10:46:00,2,1.0
02FI_1000.PV,2025-08-14 12:17:00,2025-08-14 12:17:00,1,0.0
03FIC_1085.PV,2022-02-19 16:31:00,2022-02-19 16:32:00,2,1.0
03FIC_1085.PV,2022-02-19 16:34:00,2022-02-19 16:34:00,1,0.0
03FIC_1085.PV,2022-02-19 16:36:00,2022-02-19 16:38:00,3,2.0
03FIC_1085.PV,2022-02-19 16:40:00,2022-02-19 16:40:00,1,0.0
03FIC_1085.PV,2022-02-19 16:43:00,2022-02-19 16:43:00,1,0.0
03FIC_1085.PV,2022-02-19 16:45:00,2022-02-19 16:46:00,2,1.0
03FIC_1085.PV,2022-02-19 16:48:00,2022-02-19 16:48:00,1,0.0
03FIC_1085.PV,2022-02-19 16:50:00,2022-02-19 16:50:00,1,0.0
03FIC_1085.PV,2022-02-19 17:12:00,2022-02-19 17:12:00,1,0.0
